player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
Harrison Stanton,Jr.,UT,38.0,38.0,16.0,5-9,LEFT,LEFT,"Elmhurst, IL",Timothy Christian,https://stats.ncaa.org/players/7813748,548666.0,2023,Wheaton (IL),836.0,CCIW,3.0,16340.0,778.0,d3-playerid-12899
Harry Azadian,Sr.,P,10.0,1.0,17.0,6-0,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7813160,548647.0,2023,Union (NY),24197.0,Liberty League,3.0,16340.0,727.0,d3-playerid-12902
Harry Barker-Fost,Sr.,OF,3.0,0.0,2.0,-,,,,,https://stats.ncaa.org/players/8005416,548886.0,2023,Grinnell,23119.0,MWC,3.0,16340.0,264.0,d3-playerid-12903
Harry Deliyannis,Sr.,UT,13.0,12.0,1.0,-,,,,,https://stats.ncaa.org/players/7811634,548597.0,2023,Pomona-Pitzer,910.0,SCIAC,3.0,16340.0,549.0,d3-playerid-12904
Harry Genth,So.,INF,41.0,41.0,1.0,5-8,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7820685,548893.0,2023,Haverford,9683.0,Centennial,3.0,16340.0,276.0,d3-playerid-12905
Harry Kaplan,Jr.,INF,19.0,16.0,3.0,5-8,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7811255,548584.0,2023,Oberlin,897.0,NCAC,3.0,16340.0,515.0,d3-playerid-12906
Harry Kingsmill,Jr.,P,0.0,0.0,37.0,6-2,LEFT,LEFT,"Medford Lakes, NJ",TBA,https://stats.ncaa.org/players/7991639,548564.0,2023,Franciscan,907.0,PAC,3.0,16340.0,30069.0,d3-playerid-12907
Harry Mauterer,Jr.,1B,22.0,21.0,7.0,5-10,RIGHT,RIGHT,"San Rafael, CA",Marin Catholic,https://stats.ncaa.org/players/7813495,548657.0,2023,WashU,1471.0,UAA,3.0,16340.0,755.0,d3-playerid-12909
Harry Meehan,Fr.,P,4.0,1.0,18.0,-,,,,,https://stats.ncaa.org/players/8002661,548830.0,2023,Bridgewater St.,870.0,MASCAC,3.0,16340.0,76.0,d3-playerid-12910
Harry Painter,So.,P,35.0,35.0,3.0,6-3,RIGHT,RIGHT,"Essex, MA",Manchester Essex,https://stats.ncaa.org/players/7812894,548637.0,2023,Suffolk,839.0,CCC,3.0,16340.0,684.0,d3-playerid-12913
Harry Romano,Jr.,C,3.0,0.0,39.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7813664,548663.0,2023,McDaniel,9683.0,Centennial,3.0,16340.0,773.0,d3-playerid-12915
Haruki Tada,Jr.,INF,15.0,0.0,1.0,-,,,,,https://stats.ncaa.org/players/7811496,548592.0,2023,Otterbein,901.0,OAC,3.0,16340.0,531.0,d3-playerid-12919
Harvey Pena,So.,P,16.0,1.0,26.0,-,,RIGHT,,,https://stats.ncaa.org/players/7818546,548822.0,2023,Beloit,23119.0,MWC,3.0,16340.0,53.0,d3-playerid-12921
Hayden Boushele,Fr.,P,1.0,1.0,18.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8010292,548816.0,2023,Augustana (IL),836.0,CCIW,3.0,16340.0,40.0,d3-playerid-12924
Hayden Brotz,Sr.,P,12.0,1.0,29.0,-,,,,,https://stats.ncaa.org/players/7819294,548848.0,2023,UChicago,23119.0,MWC,3.0,16340.0,137.0,d3-playerid-12925
Hayden Dearie,Fr.,P,1.0,0.0,32.0,6-1,,RIGHT,"Seattle, WA",Lakeside School,https://stats.ncaa.org/players/7992399,548576.0,2023,NYU,1471.0,UAA,3.0,16340.0,479.0,d3-playerid-12930
hayden Dolese,Fr.,OF,0.0,0.0,52.0,5-8,RIGHT,LEFT,,Isidore Newman,https://stats.ncaa.org/players/8000041,548605.0,2023,Rhodes,30169.0,SAA,3.0,16340.0,573.0,d3-playerid-12932
Hayden Fox,So.,C,9.0,7.0,25.0,6-1,RIGHT,RIGHT,"Hubbard, OH",Hubbard,https://stats.ncaa.org/players/7818598,548824.0,2023,Bethany (WV),907.0,PAC,3.0,16340.0,59.0,d3-playerid-12934
Hayden Fravel,Fr.,P,0.0,0.0,31.0,6-0,LEFT,LEFT,,,https://stats.ncaa.org/players/8015250,548916.0,2023,Lebanon Valley,28744.0,MAC Commonwealth,3.0,16340.0,351.0,d3-playerid-12936
Hayden Furr,Fr.,OF,0.0,0.0,44.0,5-11,RIGHT,RIGHT,"New London, NC",North Stanly,https://stats.ncaa.org/players/8001509,548565.0,2023,Pfeiffer,842.0,USA South,3.0,16340.0,542.0,d3-playerid-12937
Hayden Guerin,So.,OF,26.0,26.0,21.0,-,,,,,https://stats.ncaa.org/players/7815326,548718.0,2023,Mary Hardin-Baylor,14825.0,ASC,3.0,16340.0,1203.0,d3-playerid-12941
Hayden Heche,Jr.,P,9.0,1.0,40.0,6-2,RIGHT,RIGHT,"Fort Wayne, IN",Northrop,https://stats.ncaa.org/players/7811312,548586.0,2023,Ohio Northern,901.0,OAC,3.0,16340.0,517.0,d3-playerid-12942
