Team,Season,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
Jefferson,2025,3,CACC,69,22,1,1,5,98,19,3,2,2,20,12,1,2,16.59855101438688,2.6932565457960496,-0.1700630748392266,1.8558620689655174,0.5773576060224586,21,2,15,3,0.2753623188405797,0.463768115942029,0.47959183673469385,1.1386421996985827,108.31853198191497,12,85.71428571428571,22.448979591836736,21.428571428571427,0.18840579710144928,126.08623539936916,0.20408163265306123,0.3637708333333333,Jefferson,-55.222,1.5509999999999995,1.2995177468118504,1.1365348399246704,0.06515665252534886,2
Kentucky St.,2025,4,SIAC,58,15,0,0,0,73,11,2,0,0,4,1,1,1,8.230253058814661,-6.402933720747433,-1.504322342799491,3.7031321839080467,0.03166330353463076,25,1,4,4,0.1896551724137931,0.22413793103448276,0.3561643835616438,1.1253618148396152,107.52170889037691,9,50.0,20.54794520547945,34.24657534246575,0.03448275862068967,40.23219241292875,0.0547945205479452,0.17542465753424658,Kentucky St.,-85.156,-0.49499999999999966,-0.2795221779906669,1.0668763102725367,-0.18444913267940544,2
King (TN),2025,8,Conference Carolinas,238,30,0,4,13,285,69,16,0,6,47,8,0,0,50.009464618051595,-2.209907682009837,-3.141898952453581,11.551022988505748,1.147258586130338,58,4,39,8,0.28991596638655465,0.4327731092436975,0.3929824561403509,1.029493552888156,101.76961317328936,47,66.66666666666666,10.526315789473683,20.350877192982455,0.14285714285714285,97.39378020710907,0.1649122807017544,0.3838421052631579,King (TN),-152.102,1.9882000000000013,1.4798019661846127,1.0212658227848102,0.4669977363438962,2
Ky. Wesleyan,2025,3,G-MAC,85,16,0,1,4,106,24,7,1,1,22,5,0,1,17.239968624320934,0.17909227265647465,1.2707238373504552,1.2166206896551726,0.3856645075858472,13,1,25,3,0.2823529411764706,0.4235294117647059,0.41509433962264153,1.0877520998208936,105.26512598925362,15,83.33333333333334,15.09433962264151,12.264150943396226,0.1411764705882353,100.77228049531178,0.20754716981132076,0.3379245283018868,Ky. Wesleyan,-50.269000000000005,1.4989999999999999,1.0962525466635136,0.7358901515151515,0.940736257866148,2
Lake Erie,2025,6,G-MAC,105,11,0,1,6,123,19,4,0,2,19,9,0,1,16.869277610500948,-1.5089030260042993,1.1125074595318338,7.060867816091955,0.5829861835985729,37,0,14,6,0.18095238095238095,0.2761904761904762,0.2926829268292683,0.9744298030772632,98.4657881846358,13,100.0,8.94308943089431,30.081300813008134,0.09523809523809526,36.40228711342348,0.15447154471544716,0.25930081300813007,Lake Erie,-121.19600000000001,0.07400000000000069,-0.08229341031225584,0.9521153846153847,0.16001508270167286,2
Lander,2025,10,Peach Belt,274,41,2,6,24,347,72,20,4,4,49,13,1,1,55.617720434826914,0.36777661318249766,-0.50357910351744,5.7875402298850585,0.3590273264677326,42,4,36,10,0.26277372262773724,0.40875912408759124,0.40057636887608067,0.9978679017883684,99.8720741073021,44,76.47058823529412,11.815561959654179,12.103746397694524,0.145985401459854,93.76007068257888,0.14121037463976946,0.3326326530612245,Lander,-197.948,2.057200000000002,1.395144045793413,1.1048083170890188,0.46689841730133685,2
Lane,2025,4,SIAC,35,5,0,0,5,45,10,3,1,0,9,2,0,1,6.983191762700531,-2.193615424316633,-2.762973562752429,2.6171091954022994,0.059921722937091915,7,0,5,4,0.2857142857142857,0.42857142857142855,0.4444444444444444,1.1594937461843111,109.56962477105867,6,100.0,11.11111111111111,15.555555555555555,0.14285714285714285,109.23915474859056,0.2,0.3167111111111111,Lane,-75.316,-0.06679999999999911,-0.21871889877574602,0.7199040767386091,0.12592875886901841,2
LeMoyne-Owen,2025,9,SIAC,140,25,0,5,8,178,40,10,4,2,53,19,0,3,30.05876484957647,-3.122165495620018,0.9301170898624778,4.940373563218392,0.6454882685300666,18,2,45,7,0.2857142857142857,0.45714285714285713,0.4101123595505618,0.9873885105974872,99.24331063584924,24,90.47619047619048,14.04494382022472,10.112359550561797,0.17142857142857143,107.26455861445973,0.29775280898876405,0.3593314606741573,LeMoyne-Owen,-80.44800000000001,-1.0494000000000003,-0.3777116492512003,1.6461625282167043,-0.2597709698780422,2
Lee,2025,10,Gulf South,284,40,0,5,11,340,84,14,3,9,57,19,0,1,63.00795040574831,7.206247611896898,1.234462648327155,18.67375287356322,1.7862260411402697,53,4,54,10,0.29577464788732394,0.4612676056338028,0.39705882352941174,1.0677390960785391,104.06434576471236,58,82.6086956521739,11.76470588235294,15.588235294117647,0.16549295774647887,104.96363331051542,0.1676470588235294,0.41705,Lee,-175.666,0.6608000000000004,1.4822971116100958,0.6533666666666667,-0.4709201410473689,2
Lenoir-Rhyne,2025,11,SAC,356,61,0,4,10,431,128,28,7,10,115,22,3,1,88.50073996645015,7.0060638524510255,2.6411310866840347,17.304195402298852,3.0961155952125146,65,2,95,11,0.3595505617977528,0.5617977528089888,0.4617169373549884,1.0579942010490655,103.47965206294394,83,91.66666666666666,14.153132250580047,15.081206496519723,0.202247191011236,144.18729171921888,0.2668213457076566,0.4792366589327146,Lenoir-Rhyne,-135.948,4.924999999999998,4.506047223420324,0.6697284806470248,2.847679163192285,2
