team_name,Years,iPF,PF,H,R,total_home_games,total_away_games
IIT,2021-2024,1.0460853650555535,102.7651219033332,7.894736842105263,7.22680412371134,57.0,97.0
Edgewood,2021-2024,1.0459970330608273,102.75982198364963,7.5344827586206895,6.898148148148148,58.0,108.0
SUNY Maritime,2021-2024,1.0451597515267474,102.70958509160484,8.375,7.67948717948718,64.0,78.0
Manchester,2021-2024,1.0451282643777975,102.70769586266786,7.0,6.419047619047619,56.0,105.0
Bridgewater (VA),2021-2024,1.0451112506948737,102.70667504169242,7.194444444444445,6.597560975609756,72.0,82.0
Hampden-Sydney,2021-2024,1.0443321906301994,102.65993143781196,6.652777777777778,6.109589041095891,72.0,73.0
Illinois Col.,2021-2024,1.0422840838126686,102.5370450287601,7.950617283950617,7.329113924050633,81.0,79.0
Bates,2021-2024,1.0422347884371015,102.53408730622608,6.206896551724138,5.722222222222222,29.0,72.0
Marymount (VA),2021-2024,1.0421545773882663,102.52927464329598,7.359375,6.785714285714286,64.0,70.0
Dean,2021-2024,1.0401499307093078,102.40899584255847,5.612244897959184,5.1940298507462686,49.0,67.0
Roger Williams,2021-2024,1.0401229109129109,102.40737465477466,8.018181818181818,7.421052631578948,55.0,95.0
Southwestern (TX),2021-2024,1.0398308065286064,102.38984839171638,7.609375,7.046511627906977,64.0,43.0
La Roche,2021-2024,1.0393599046143585,102.36159427686151,6.767857142857143,6.2727272727272725,56.0,77.0
Hilbert,2021-2024,1.0372506034990148,102.23503620994087,6.806451612903226,6.333333333333333,31.0,111.0
Wilmington (OH),2021-2024,1.0364883926312503,102.18930355787501,6.295081967213115,5.865853658536586,61.0,82.0
Eastern,2021-2024,1.036175893470472,102.1705536082283,6.0181818181818185,5.611111111111111,55.0,90.0
Me.-Presque Isle,2021-2024,1.0353812733247927,102.12287639948757,3.8181818181818183,3.5652173913043477,22.0,92.0
Johns Hopkins,2021-2024,1.0349706701814598,102.09824021088758,9.363636363636363,8.75,77.0,84.0
Wheaton (IL),2021-2024,1.0341546508826869,102.04927905296121,7.222222222222222,6.7592592592592595,54.0,54.0
UMSV,2021-2024,1.0332744508601017,101.9964670516061,8.65,8.108910891089108,40.0,101.0
Gwynedd Mercy,2021-2024,1.0321740746967731,101.93044448180639,6.672727272727273,6.2682926829268295,55.0,82.0
Drew,2021-2024,1.0318829013814192,101.91297408288516,5.7894736842105265,5.441558441558442,57.0,77.0
SUNY Oneonta,2021-2024,1.0318657868522578,101.91194721113548,5.897058823529412,5.542857142857143,68.0,70.0
Penn St. Harrisburg,2021-2024,1.0316618698689561,101.89971219213736,9.770114942528735,9.186813186813186,87.0,91.0
East Tex. Baptist,2021-2024,1.030597575993478,101.83585455960869,8.303571428571429,7.823529411764706,112.0,85.0
Middlebury,2021-2024,1.03053389946174,101.83203396770439,8.941176470588236,8.425287356321839,51.0,87.0
Carthage,2021-2024,1.0300278887192265,101.8016733231536,6.206896551724138,5.854368932038835,58.0,103.0
Eastern Conn. St.,2021-2024,1.0299420448034355,101.79652268820614,8.647727272727273,8.157894736842104,88.0,95.0
Dallas,2021-2024,1.0296664658113857,101.77998794868314,6.084507042253521,5.742857142857143,71.0,70.0
Ramapo,2021-2024,1.0295091541381658,101.77054924828994,7.294117647058823,6.88659793814433,51.0,97.0
Denison,2021-2024,1.0293488890936926,101.76093334562155,9.108108108108109,8.601851851851851,74.0,108.0
Salisbury,2021-2024,1.0291064844745006,101.74638906847005,9.831683168316832,9.289473684210526,101.0,76.0
Alfred,2021-2024,1.02902316802467,101.7413900814802,2.7777777777777777,2.625,9.0,24.0
Bethany (WV),2021-2024,1.0284705762484865,101.70823457490918,5.459016393442623,5.164179104477612,61.0,67.0
Mt. St. Mary (NY),2021-2024,1.0283563972901677,101.70138383741005,6.384615384615385,6.041095890410959,39.0,73.0
Spalding,2021-2024,1.0274701988976744,101.64821193386047,8.078947368421053,7.6571428571428575,76.0,105.0
Clarks Summit,2021-2024,1.0273997184109542,101.64398310465725,4.923076923076923,4.666666666666667,39.0,75.0
Yeshiva,2021-2024,1.0271064916489285,101.62638949893572,1.6511627906976745,1.5660377358490567,43.0,53.0
Wash. & Lee,2021-2024,1.0266451119200743,101.59870671520446,7.53125,7.149253731343284,64.0,67.0
Westminster (PA),2021-2024,1.0248090486339598,101.4885429180376,6.049180327868853,5.7625,61.0,80.0
Luther,2021-2024,1.0240736156309709,101.44441693785826,6.660377358490566,6.353658536585366,53.0,82.0
Principia,2021-2024,1.0240268594988855,101.44161156993312,4.357142857142857,4.1568627450980395,42.0,51.0
Saint John's (MN),2021-2024,1.0237864090596631,101.4271845435798,7.826923076923077,7.470588235294118,52.0,68.0
Marywood,2021-2024,1.0229209773208874,101.37525863925325,6.682539682539683,6.388888888888889,63.0,72.0
Heidelberg,2021-2024,1.0223135885841301,101.33881531504781,7.173913043478261,6.866666666666666,69.0,90.0
Greensboro,2021-2024,1.0214458948064158,101.28675368838496,7.444444444444445,7.1375,72.0,80.0
Concordia-M'head,2021-2024,1.020931046867481,101.25586281204886,6.209302325581396,5.959183673469388,43.0,98.0
Calvin,2021-2024,1.0208366865644485,101.25020119386691,7.333333333333333,7.03921568627451,51.0,102.0
Russell Sage,2021-2024,1.0204108670762548,101.22465202457529,6.96969696969697,6.695652173913044,33.0,92.0
St. Norbert,2021-2024,1.019801083988813,101.18806503932878,6.3,6.0594059405940595,50.0,101.0
King's (PA),2021-2024,1.0195047444120022,101.17028466472013,5.346153846153846,5.144927536231884,52.0,69.0
Susquehanna,2021-2024,1.0169267387880394,101.01560432728236,6.648148148148148,6.429906542056075,54.0,107.0
Gettysburg,2021-2024,1.016198711626708,100.97192269760247,7.425925925925926,7.1923076923076925,54.0,78.0
Utica,2021-2024,1.015674030660631,100.94044183963786,8.346938775510203,8.092592592592593,49.0,108.0
Cortland,2021-2024,1.0155295823006605,100.93177493803962,8.478260869565217,8.222222222222221,92.0,90.0
Wentworth,2021-2024,1.0152971203158738,100.91782721895244,5.78125,5.609195402298851,32.0,87.0
Beloit,2021-2024,1.0143290907556097,100.85974544533659,8.508474576271187,8.270833333333334,59.0,96.0
Wis.-Eau Claire,2021-2024,1.0130314170128407,100.78188502077043,5.85,5.701030927835052,60.0,97.0
Hope,2021-2024,1.0127874766475553,100.76724859885331,8.333333333333334,8.125,54.0,104.0
Ripon,2021-2024,1.0123611604793357,100.74166962876015,6.212765957446808,6.0625,47.0,112.0
North Central (IL),2021-2024,1.0116149762369224,100.69689857421535,7.295454545454546,7.129411764705883,44.0,85.0
Swarthmore,2021-2024,1.0115603430655933,100.69362058393561,8.076923076923077,7.893939393939394,52.0,66.0
Transylvania,2021-2024,1.011127532169703,100.66765193018219,7.862068965517241,7.690476190476191,87.0,84.0
Elms,2021-2024,1.010833597497518,100.65001584985107,6.288461538461538,6.154761904761905,52.0,84.0
Mount Union,2021-2024,1.0093437047671723,100.56062228603034,7.131147540983607,7.0,61.0,100.0
Fitchburg St.,2021-2024,1.0093044839644132,100.5582690378648,6.0,5.8901098901098905,50.0,91.0
Shenandoah,2021-2024,1.008919418502488,100.53516511014928,8.486956521739131,8.337837837837839,115.0,74.0
Alvernia,2021-2024,1.0088352474238618,100.53011484543171,7.142857142857143,7.018518518518518,63.0,108.0
Westminster (MO),2021-2024,1.0080851063829788,100.48510638297871,6.844827586206897,6.735632183908046,58.0,87.0
Birmingham-So.,2021-2024,1.0080009136223784,100.4800548173427,8.382352941176471,8.25,102.0,92.0
UMass Dartmouth,2021-2024,1.0077820116550058,100.46692069930035,6.518518518518518,6.418367346938775,54.0,98.0
Salem St.,2021-2024,1.007594791414251,100.45568748485505,5.0,4.925,61.0,80.0
Elizabethtown,2021-2024,1.0075142693303685,100.4508561598221,7.285714285714286,7.177570093457944,56.0,107.0
Elmira,2021-2024,1.0065366036475454,100.39219621885272,5.8076923076923075,5.732558139534884,52.0,86.0
SUNY Cobleskill,2021-2024,1.006429876020462,100.38579256122773,6.963636363636364,6.875,55.0,88.0
Wis. Lutheran,2021-2024,1.00508409093504,100.30504545610239,5.108695652173913,5.057142857142857,46.0,105.0
Endicott,2021-2024,1.0037632698933396,100.22579619360037,8.674157303370787,8.60919540229885,89.0,87.0
Centre,2021-2024,1.003509301127652,100.21055806765911,6.459770114942529,6.414634146341464,87.0,82.0
La Verne,2021-2024,1.0030677025994121,100.18406215596474,8.207317073170731,8.157142857142857,82.0,70.0
Mount Aloysius,2021-2024,1.0014009556140562,100.08405733684339,7.0,6.980392156862745,49.0,102.0
N.C. Wesleyan,2021-2024,1.0013967615707495,100.08380569424497,8.694736842105263,8.670454545454545,95.0,88.0
Pacific (OR),2021-2024,1.0008318885089436,100.04991331053661,7.6875,7.674698795180723,80.0,83.0
Piedmont,2021-2024,1.0006733886248482,100.04040331749088,6.925,6.9156626506024095,80.0,83.0
Wooster,2021-2024,1.0004844511912374,100.02906707147426,7.896551724137931,7.888888888888889,58.0,108.0
WestConn,2021-2024,0.9996045132760193,99.97627079656117,4.911764705882353,4.9156626506024095,34.0,83.0
Oswego St.,2021-2024,0.9993264001261756,99.95958400757054,8.903846153846153,8.91588785046729,52.0,107.0
Claremont-M-S,2021-2024,0.9986409354817201,99.9184561289032,8.92156862745098,8.945945945945946,51.0,74.0
St. Joseph's (ME),2021-2024,0.9986167684365836,99.91700610619502,5.551724137931035,5.567164179104478,58.0,67.0
UMass Boston,2021-2024,0.998602359958873,99.91614159753239,7.485294117647059,7.506329113924051,68.0,79.0
Williams,2021-2024,0.9971031448934203,99.82618869360522,6.72,6.7592592592592595,25.0,54.0
Albright,2021-2024,0.9966238312518652,99.7974298751119,4.483333333333333,4.513888888888889,60.0,72.0
Mary Hardin-Baylor,2021-2024,0.9964317773759941,99.78590664255964,6.447368421052632,6.493827160493828,76.0,81.0
Schreiner,2021-2024,0.9962326926299868,99.77396155779921,6.2465753424657535,6.294117647058823,73.0,85.0
Aurora,2021-2024,0.99564723210011,99.73883392600659,9.4,9.482758620689655,70.0,116.0
Southern Me.,2021-2024,0.994805684893137,99.68834109358822,6.809523809523809,6.881188118811881,63.0,101.0
Suffolk,2021-2024,0.9946219742754352,99.67731845652611,7.137254901960785,7.21505376344086,51.0,93.0
Hardin-Simmons,2021-2024,0.9940803552367969,99.64482131420782,5.917808219178082,5.988888888888889,73.0,90.0
Albion,2021-2024,0.994036121334336,99.64216728006016,5.578947368421052,5.646464646464646,57.0,99.0
Otterbein,2021-2024,0.9925235167402342,99.55141100441405,8.244897959183673,8.37037037037037,49.0,108.0
Whitman,2021-2024,0.9914624608306757,99.48774764984054,6.301369863013699,6.411111111111111,73.0,90.0
Mary Washington,2021-2024,0.989727800933493,99.38366805600958,6.7439024390243905,6.885714285714286,82.0,70.0
Rose-Hulman,2021-2024,0.9895875737979367,99.3752544278762,7.7894736842105265,7.955555555555556,76.0,90.0
Skidmore,2021-2024,0.9884697279353987,99.30818367612392,7.454545454545454,7.630952380952381,44.0,84.0
Emory,2021-2024,0.9881625731749071,99.28975439049442,8.538461538461538,8.746031746031745,65.0,63.0
Mass. Maritime,2021-2024,0.987749805718444,99.26498834310664,5.901408450704225,6.05,71.0,60.0
Arcadia,2021-2024,0.987487201248963,99.2492320749378,8.14102564102564,8.350515463917526,78.0,97.0
Amherst,2021-2024,0.9868996060293056,99.21397636175834,7.6938775510204085,7.901408450704225,49.0,71.0
Baldwin Wallace,2021-2024,0.9865615507663248,99.19369304597949,8.444444444444445,8.678260869565218,72.0,115.0
George Fox,2021-2024,0.9854149507330583,99.1248970439835,5.635135135135135,5.804878048780488,74.0,82.0
Adrian,2021-2024,0.9850381405856599,99.1022884351396,7.742857142857143,7.982300884955753,70.0,113.0
Rhodes,2021-2024,0.9849817166176753,99.09890299706052,7.426966292134831,7.657534246575342,89.0,73.0
Chris. Newport,2021-2024,0.9849505572463689,99.09703343478213,7.758620689655173,8.0,87.0,73.0
Lycoming,2021-2024,0.9845098559455621,99.07059135673373,4.434782608695652,4.576923076923077,23.0,52.0
LeTourneau,2021-2024,0.9842955185927644,99.05773111556586,5.2,5.369047619047619,75.0,84.0
William Peace,2021-2024,0.9839781986253069,99.03869191751842,7.549450549450549,7.8,91.0,75.0
Colby-Sawyer,2021-2024,0.9828798493462432,98.97279096077459,5.852941176470588,6.060975609756097,34.0,82.0
Eastern Nazarene,2021-2024,0.9811600284772823,98.86960170863695,6.478260869565218,6.732558139534884,46.0,86.0
Carleton,2021-2024,0.980973048826895,98.8583829296137,5.020408163265306,5.219512195121951,49.0,82.0
Va. Wesleyan,2021-2024,0.9805903070533908,98.83541842320345,6.416666666666667,6.676470588235294,72.0,68.0
Stockton,2021-2024,0.9803808081535696,98.82284848921418,6.55,6.818181818181818,60.0,88.0
