"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"60",2024,"Akron","MAC",1,"17","Jack Kelley","Jr","P",19,8,6.38,55,55,42,39,27,53,0,253,215,18,0,0,8,7,8,0,2,1,2,1,835,49,57,3,1,0,9,"6-1","R/R",573912,875,8418851,"http://stats.ncaa.org/players/8418851?year_stat_category_id=15081"
"61",2024,"Akron","MAC",1,"11","Jared Schaeffer","So","P",13,13,4.32,81.1,94,53,39,13,61,0,358,332,14,2,0,14,2,7,0,0,0,5,1,0,98,76,3,8,0,13,"6-0","",573912,875,8418836,"http://stats.ncaa.org/players/8418836?year_stat_category_id=15081"
"62",2024,"Akron","MAC",1,"18","Josiah Ross","Fr","P",18,0,12.43,21,23,29,29,24,21,0,114,83,5,2,0,1,4,4,0,10,1,1,2,383,25,16,0,3,0,4,"6-1","R/R",573912,875,8418853,"http://stats.ncaa.org/players/8418853?year_stat_category_id=15081"
"63",2024,"Akron","MAC",1,"38","Dawson Tourney","So","P",13,11,8.12,47.2,73,52,43,19,37,0,243,202,13,2,0,4,2,15,0,0,0,4,3,824,55,39,1,6,1,10,"6-0","L/L",573912,875,8418888,"http://stats.ncaa.org/players/8418888?year_stat_category_id=15081"
"64",2024,"Akron","MAC",1,"13","Michael Orlowski","Sr","P",7,0,21,6,16,14,14,7,3,0,40,32,4,0,0,1,1,1,0,5,3,0,0,118,5,8,0,0,0,1,"5-11","",573912,875,8418842,"http://stats.ncaa.org/players/8418842?year_stat_category_id=15081"
"65",2024,"Akron","MAC",1,"19","Elijah  Griffith","Fr","P",14,6,14.25,24,53,45,38,15,17,0,145,123,8,3,1,8,3,2,0,0,0,2,3,362,23,31,1,4,0,8,"6-2","R/R",573912,875,8418857,"http://stats.ncaa.org/players/8418857?year_stat_category_id=15081"
"66",2024,"Akron","MAC",1,"31","Reece Sutphin","Fr","P",5,0,11.37,6.1,12,9,8,6,1,0,38,29,2,0,1,1,1,2,0,7,6,0,1,121,6,9,0,0,0,1,"5-11","L/L",573912,875,8418876,"http://stats.ncaa.org/players/8418876?year_stat_category_id=15081"
"67",2024,"Akron","MAC",1,"40","Emmett Gillies","Fr","P",20,2,9.25,24.1,35,30,25,17,15,0,127,102,5,1,1,8,2,5,0,7,2,2,1,472,25,29,1,1,0,3,"6-3","R/R",573912,875,8418894,"http://stats.ncaa.org/players/8418894?year_stat_category_id=15081"
"68",2024,"Akron","MAC",1,"45","Tre Rex","Fr","P",7,0,9.95,6.1,7,8,7,7,7,0,34,26,2,0,0,1,2,1,0,3,0,0,0,134,2,9,0,0,0,2,"6-5","L/L",573912,875,8418898,"http://stats.ncaa.org/players/8418898?year_stat_category_id=15081"
"69",2024,"Alabama","SEC",1,"99","Austin Morris","Fr","P",14,0,4.74,24.2,27,13,13,9,21,0,110,93,8,0,0,3,2,6,1,7,1,1,1,382,31,16,2,0,0,6,"6-4","R/R",573998,911,8276130,"http://stats.ncaa.org/players/8276130?year_stat_category_id=15081"
