"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
"75",2024,"Air Force","Mountain West",1,"17","Aaron Reyes","Jr","UT",10,3,0.167,0.238,0.278,1,18,3,2,0,5,0,3,1,1,1,0,7,1,0,1,0,0,0,"5-11","",573924,5486,8276649,"http://stats.ncaa.org/players/8276649?year_stat_category_id=15080"
"76",2024,"Air Force","Mountain West",1,"1","Jay Thomason","Sr","INF",55,55,0.358,0.452,0.763,71,215,77,14,5,164,21,55,30,10,4,0,69,3,1,0,14,8,0,"6-1","",573924,5486,8270407,"http://stats.ncaa.org/players/8270407?year_stat_category_id=15080"
"77",2024,"Air Force","Mountain West",1,"22","Chris Stallings","Sr","OF",18,17,0.3,0.417,0.45,11,60,18,3,0,27,2,15,12,0,0,0,18,2,0,1,8,0,0,"6-0","",573924,5486,8262427,"http://stats.ncaa.org/players/8262427?year_stat_category_id=15080"
"78",2024,"Air Force","Mountain West",1,"40","Seungmin Shim","Sr","P",17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-4","",573924,5486,8274450,"http://stats.ncaa.org/players/8274450?year_stat_category_id=15080"
"79",2024,"Air Force","Mountain West",1,"19","Joey Collier","So","P",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","",573924,5486,8268669,"http://stats.ncaa.org/players/8268669?year_stat_category_id=15080"
"80",2024,"Air Force","Mountain West",1,"34","Landon Boyd","Jr","C",19,4,0.13,0.344,0.174,3,23,3,1,0,4,0,1,6,2,1,0,10,0,0,1,1,0,0,"6-0","",573924,5486,8263040,"http://stats.ncaa.org/players/8263040?year_stat_category_id=15080"
"81",2024,"Air Force","Mountain West",1,"20","Aerik Joe","Sr","INF",54,54,0.255,0.339,0.31,33,200,51,3,4,62,0,16,21,5,1,6,35,4,4,0,12,0,0,"5-10","",573924,5486,8276066,"http://stats.ncaa.org/players/8276066?year_stat_category_id=15080"
"82",2024,"Air Force","Mountain West",1,"23","Jack Bello","So","P",14,9,0.25,0.455,0.313,4,16,4,1,0,5,0,3,3,3,0,0,6,0,0,0,0,0,0,"6-3","",573924,5486,8259431,"http://stats.ncaa.org/players/8259431?year_stat_category_id=15080"
"83",2024,"Air Force","Mountain West",1,"18","Ben Weber","So","P",17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","",573924,5486,8280786,"http://stats.ncaa.org/players/8280786?year_stat_category_id=15080"
"84",2024,"Air Force","Mountain West",1,"4","Zach Peters","Jr","UT",39,29,0.29,0.4,0.43,13,107,31,12,0,46,1,19,16,5,2,0,26,2,2,1,0,0,0,"5-9","",573924,5486,8280899,"http://stats.ncaa.org/players/8280899?year_stat_category_id=15080"
"85",2024,"Air Force","Mountain West",1,"16","Ben Niednagel","So","INF",29,18,0.132,0.217,0.151,6,53,7,1,0,8,0,6,5,1,1,5,18,1,1,1,0,0,0,"5-9","",573924,5486,8284605,"http://stats.ncaa.org/players/8284605?year_stat_category_id=15080"
"86",2024,"Air Force","Mountain West",1,"26","Cooper Loveridge","So","P",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","",573924,5486,8284628,"http://stats.ncaa.org/players/8284628?year_stat_category_id=15080"
"87",2024,"Air Force","Mountain West",1,"2","T.J. Oster","So","INF",22,8,0.136,0.296,0.136,2,22,3,0,0,3,0,2,3,2,0,1,7,1,0,0,3,0,0,"5-9","",573924,5486,8278785,"http://stats.ncaa.org/players/8278785?year_stat_category_id=15080"
"88",2024,"Air Force","Mountain West",1,"29","Luke Elmore","Fr","OF",2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"6-0","",573924,5486,8415793,"http://stats.ncaa.org/players/8415793?year_stat_category_id=15080"
"89",2024,"Air Force","Mountain West",1,"31","Van Klein","Fr","C",14,5,0.059,0.158,0.059,0,17,1,0,0,1,0,3,1,1,0,1,6,1,0,0,0,0,0,"6-0","",573924,5486,8415794,"http://stats.ncaa.org/players/8415794?year_stat_category_id=15080"
"90",2024,"Air Force","Mountain West",1,"33","Patrick Davidson","Fr","P",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-4","",573924,5486,8415795,"http://stats.ncaa.org/players/8415795?year_stat_category_id=15080"
"91",2024,"Air Force","Mountain West",1,"36","Gaines Estridge","Fr","P",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","",573924,5486,8415799,"http://stats.ncaa.org/players/8415799?year_stat_category_id=15080"
"92",2024,"Air Force","Mountain West",1,"38","Ethan Dillinger","Fr","P",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","",573924,5486,8415801,"http://stats.ncaa.org/players/8415801?year_stat_category_id=15080"
"93",2024,"Air Force","Mountain West",1,"12","Christian Taylor","Fr","OF",30,14,0.242,0.338,0.355,8,62,15,2,1,22,1,12,7,2,0,1,13,4,0,0,0,0,0,"5-11","",573924,5486,8415784,"http://stats.ncaa.org/players/8415784?year_stat_category_id=15080"
"94",2024,"Air Force","Mountain West",1,"27","Sam Hentges","Fr","P",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","",573924,5486,8415790,"http://stats.ncaa.org/players/8415790?year_stat_category_id=15080"
